id,title,identifier,publisher,language,format,description,date_issued,date_modified,date_valid,audience,coverage,subject,type,license,regulatory_topics,status,date_uploaded_to_orp,has_format,is_format_of,has_version,is_version_of,references,is_referenced_by,has_part,is_part_of,is_replaced_by,replaces,related_legislation
Pl6Od1Yb,The Control of Noise at Work Regulations 2005,https://www.hse.gov.uk/pubns/books/l108.htm,Health and Safety Executive,eng,HTML,"This guidance is aimed at employers and other dutyholders and includes the Control of Noise at Work Regulations alongside guidance on what they mean, setting out an employer's legal obligations to control risks to workers' health and safety from noise.

It also gives detailed advice on assessing risks, practical noise control, how to select and use hearing protection, what to consider when buying and hiring equipment and how to develop health surveillance procedures.",22/09/2019,21/10/2021,21/10/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39019",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Noise Reduction
Noise Prevention
Noise Protection",Active,,,,,,"www.hse.gov.uk/pubns/books/l153.htm
www.hse.gov.uk/pubns/books/l25.htm
www.hse.gov.uk/pubns/books/l146.htm
www.hse.gov.uk/pubns/books/l110.htm
www.hse.gov.uk/pubns/books/l22.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1990/1380
https://www.legislation.gov.uk/uksi/2018/390
https://www.legislation.gov.uk/uksi/2008/1597
https://www.legislation.gov.uk/uksi/2001/1701"
Xv8Cy8Tc,A guide to the Control of Major Accident Hazards Regulations (COMAH) 2015,https://www.hse.gov.uk/pubns/books/l111.htm,Health and Safety Executive,eng,HTML,"This guidance is for anyone who has duties under the COMAH Regulations 2015, particularly operators of establishments, and also others such as local authorities and emergency planners. The aim of the Regulations is to prevent and mitigate the effects on people and the environment of major accidents involving dangerous substances. This guidance on the COMAH Regulations 2015 gives advice on the scope of the Regulations and the duties imposed by them.",23/09/2019,04/03/2021,04/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39020",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Major Accidents
Risk Prevention
Incident Response
COMAH",Active,,,,,,"www.hse.gov.uk/pubns/books/l150.htm
www.gov.uk/preparation-and-planning-for-emergencies-the-capabilities-programme",,,,,,"https://www.legislation.gov.uk/ukpga/2004/36
https://www.legislation.gov.uk/uksi/2015/483"
Se5Bm5Es,Lifting Operations and Lifting Equipment Regulations 1998. Approved Code of Practice and guidance,https://www.hse.gov.uk/pubns/books/l113.htm,Health and Safety Executive,eng,HTML,"This Approved Code of Practice and guidance is for those that work with any equipment provided at work or for the use of people at work, those who employ such people, those that represent them and those people who act as a competent person in the examination of lifting equipment.

It sets out what you should do to comply with the Lifting Operations and Lifting Equipment Regulations 1998 (LOLER).

LOLER applies to lifting equipment and builds on the requirements of the Provision and Use of Work Equipment Regulations (PUWER).",24/09/2019,04/03/2021,04/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39021",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Lifting Equipment
Work Equipment",Active,,,,,,"www.hse.gov.uk/pubns/books/l22.htm
www.hse.gov.uk/pubns/books/l23.htm
www.hse.gov.uk/pubns/books/l24.htm
www.hse.gov.uk/pubns/books/hsg221.htm
www.hse.gov.uk/pubns/hsis4.htm
www.hse.gov.uk/pubns/books/l117.htm
www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/books/hsg261.htm
www.hse.gov.uk/pubns/pm28.htm
www.hse.gov.uk/pubns/pm15.htm
www.hse.gov.uk/pubns/hsis3.htm
www.hse.gov.uk/pubns/books/l64.htm
www.hse.gov.uk/pubns/gs6.htm
www.hse.gov.uk/pubns/books/l101.htm",,,,,,"https://www.legislation.gov.uk/uksi/1998/2307
https://www.legislation.gov.uk/uksi/1998/2306"
So0Xk3Hc,Provision and Use of Work Equipment Regulations 1998 (as applied to woodworking machinery). Approved Code of Practice and guidance,https://www.hse.gov.uk/pubns/books/l114.htm,Health and Safety Executive,eng,HTML,"This Approved Code of Practice and guidance is aimed at employers, dutyholders and anyone who has responsibility for the safe use of woodworking machinery, such as managers and supervisors. It applies to most woodworking machinery, except hand-held tools, and includes tasks involving wood, corkboard, fibreboard and composite materials. It gives practical advice on the safe use of woodworking machinery and covers the provision of information and training, as well as aspects of guarding.",25/09/2019,04/03/2021,04/03/2021,"Construction companies
Metals manufacturing companies",GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39022
16210
16240",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Woodworking
Construction with wood
Wood Manufacturing",Active,,,,,,"www.hse.gov.uk/pubns/books/l22.htm
www.hse.gov.uk/pubns/wis37.htm
www.hse.gov.uk/pubns/wis16.htm
www.hse.gov.uk/pubns/wis18.htm
www.hse.gov.uk/pubns/wis38.htm
www.hse.gov.uk/pubns/wis13.htm
www.hse.gov.uk/pubns/books/hsg258.htm
www.hse.gov.uk/pubns/wis14.htm",,,,,,"https://www.legislation.gov.uk/uksi/1998/2306
https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1999/3242"
Sd1Oy2Qg,Control of lead at work (Third edition),https://www.hse.gov.uk/pubns/books/l132.htm,Health and Safety Executive,eng,HTML,"The Approved Code and accompanying guidance is aligned to the Regulations and emphasise that excessive exposure to lead has been a long-recognised health hazard. Accordingly this documents how to manage such risks and satisfy the requirements applicable to activities, eg handling, processing, repairing, maintenance, storage, disposal - liable to expose employees and others to metallic lead, its alloys and compounds (including alkyls), or when it is a component of another substance or material.",26/09/2019,19/09/2023,19/09/2023,"Construction companies
Metals manufacturing companies",GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39022
16210
16241",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Lead
Lead Allots
Lead Compounds
Managing exposure",Active,,,,,,"https://www.hse.gov.uk/pubns/books/l24.htm
https://www.hse.gov.uk/pubns/hsc13.htm
https://www.hse.gov.uk/pubns/books/l5.htm
https://www.hse.gov.uk/pubns/books/hsg53.htm
https://www.hse.gov.uk/pubns/books/eh40.htm
https://www.hse.gov.uk/pubns/books/hsg173.htm
https://www.hse.gov.uk/pubns/indg453.htm",,,,,,https://www.legislation.gov.uk/uksi/2002/2676
Kb3Aa1Vs,Hand-arm vibration: The Control of Vibration at Work Regulations 2005,https://www.hse.gov.uk/pubns/books/l140.htm,Health and Safety Executive,eng,HTML,"This guidance looks at the employer's legal obligations to control risks to employees' health and safety from exposure to HAV and to prevent HAV-related diseases such as hand-arm vibration syndrome and carpal tunnel syndrome. It covers the management and control of the risks from HAV and how to protect employees, with practical guidance on risk assessments, controlling vibration exposure and arranging health surveillance.",27/09/2019,04/03/2021,04/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39021",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Vibrations
Hands
Arms
Carpal-tunnel syndrome",Active,,,,,,"www.hse.gov.uk/pubns/books/l141.htm
www.hse.gov.uk/pubns/books/l153.htm
www.hse.gov.uk/pubns/books/l146.htm
www.hse.gov.uk/pubns/books/hsg263.htm
www.hse.gov.uk/pubns/books/l110.htm
www.hse.gov.uk/pubns/books/l22.htm
www.hse.gov.uk/pubns/books/l25.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/2008/1597
https://www.legislation.gov.uk/uksi/1990/1380
https://www.legislation.gov.uk/uksi/1999/3242
https://www.legislation.gov.uk/uksi/2007/3077"
Ku3Sl6Wc,Safety Representatives and Safety Committees Regulations 1977 (as amended) and Health and Safety (Consultation with Employees) Regulations 1996 (as amended). Approved Codes of Practice and guidance,https://www.hse.gov.uk/pubns/books/l146.htm,Health and Safety Executive,eng,HTML,This guidance gives you the law and guidance on how to consult and involve your employees and their representatives on health and safety matters at work under the Safety Representatives and Safety Committees Regulations 1977 (as amended) and the Health and Safety (Consultation with Employees) Regulations 1996 (as amended). It explains the relationship between the two sets of regulations and how they affect you and your workforce; in some workplaces you may have to consult under both sets of regulations.,28/09/2019,24/04/2023,24/04/2023,Employers,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39013",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Consultation
Employee Involvement",Active,,,,,,"www.hse.gov.uk/pubns/books/hsg263.htm
www.hse.gov.uk/pubns/books/l110.htm
www.hse.gov.uk/pubns/books/l144.htm
www.hse.gov.uk/pubns/books/l74.htm
www.hse.gov.uk/pubns/books/l64.htm
https://www.orr.gov.uk/guidance-compliance/rail/health-safety/laws/rogs
www.hse.gov.uk/pubns/books/l143.htm
www.hse.gov.uk/pubns/books/l132.htm
www.hse.gov.uk/pubns/books/l108.htm
www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/books/l140.htm
www.hse.gov.uk/pubns/books/l141.htm
www.hse.gov.uk/pubns/books/l26.htm
www.hse.gov.uk/pubns/books/l121.htm
www.hse.gov.uk/pubns/books/l126.htm
www.hse.gov.uk/pubns/books/l23.htm
www.hse.gov.uk/pubns/books/l22.htm
www.hse.gov.uk/pubns/books/l25.htm
www.hse.gov.uk/pubns/books/l72.htm
www.hse.gov.uk/pubns/books/l138.htm
www.hse.gov.uk/pubns/books/hsr27.htm
www.hse.gov.uk/pubns/books/l44.htm
www.hse.gov.uk/pubns/books/l118.htm
www.hse.gov.uk/pubns/books/l122.htm
www.hse.gov.uk/pubns/books/l96.htm
www.hse.gov.uk/pubns/books/l29.htm
www.hse.gov.uk/pubns/books/l111.htm
www.hse.gov.uk/pubns/books/L101.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/ukpga/Eliz2/2-3/70
https://www.legislation.gov.uk/uksi/1999/3242
https://www.legislation.gov.uk/uksi/1995/2005/made
https://www.legislation.gov.uk/uksi/2005/1541
https://www.legislation.gov.uk/uksi/2007/1573"
Iy0Dk4Rb,Construction (Design and Management) Regulations 2015. Guidance on Regulations,https://www.hse.gov.uk/pubns/books/l153.htm,Health and Safety Executive,eng,HTML,"The Construction (Design and Management) Regulations 2015 (CDM 2015) came into force on 6 April 2015, replacing CDM 2007. This publication provides guidance on the legal requirements for CDM 2015 and is available to help anyone with duties under the Regulations. It describes:

the law that applies to the whole construction process on all construction projects, from concept to completion
what each dutyholder must or should do to comply with the law to ensure projects are carried out in a way that secures health and safety",29/09/2019,04/03/2021,04/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39021",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Construction
Design
Management
Completion
Site Safety",Active,,,,,,"www.hse.gov.uk/pubns/books/l24.htm
www.hse.gov.uk/pubns/cis59.htm",,,,,,https://www.legislation.gov.uk/uksi/2015/51
Kg6Uv0Ws,Health surveillance for those exposed to respirable crystalline silica (RCS) - Guidance for occupational health professionals,https://www.hse.gov.uk/pubns/books/healthsurveillance.htm,Health and Safety Executive,eng,HTML,"This supplement provides an example of a health surveillance programme for silicosis
for occupational health providers and employers to consider. It provides advice on:
who to include in a health surveillance programme; and
who the 'competent person' should be for carrying out each stage of the health
surveillance programme.",30/09/2019,05/03/2021,05/03/2021,Occupational health professionals,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39013",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Respirable Crystalline Silica
Occupational Health
Exposure",Active,,,,,,www.hse.gov.uk/pubns/guidance/g404.htm,,,,,,
Ga1Py1Ox,LOLER 1998 Lifting Operations and Lifting Equipment Regulations (LOLER) 1998: Open learning guidance,https://www.hse.gov.uk/pubns/books/loler.htm,Health and Safety Executive,eng,HTML,"This guidance explains the Lifting Operations and Lifting Equipment Regulations
(LOLER) 1998. The LOLER Regulations aim to make life safer for everyone using
and coming into contact with lifting equipment.
The book describes each regulation in turn. It contains text from the regulations,
as well as case studies, key terms, activities and self-assessment questions.",01/10/2019,06/03/2021,06/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39021",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Lifting Equipment
Work Equipment",Active,,,,,,"www.hse.gov.uk/pubns/indg163.htm
https://www.hse.gov.uk/pubns/gs6.htm",,,,,,https://www.legislation.gov.uk/uksi/1998/2307
Ye8Wj1Ju,PUWER 1998: Provision and Use of Work Equipment Regulations 1998. Open learning guidance,https://www.hse.gov.uk/pubns/books/puwer.htm,Health and Safety Executive,eng,HTML,"This open learning guidance explains the Provision and Use of Work Equipment
Regulations 1998 (PUWER) to help you learn about and understand them. The
Regulations deal with the work equipment and machinery used every day in
workplaces: factories, offices, shops, hospitals, construction sites, farms -
wherever equipment and machinery is used at work.",02/10/2019,07/03/2021,07/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39022",Guidance,https://www.hse.gov.uk/help/copyright.pdf,Work Equipment,Active,,,,,,https://www.hse.gov.uk/pubns/books/l112.htm,,,,,,https://www.legislation.gov.uk/uksi/1998/2306
Lb4Ui1Qv,Safety in the use of abrasive wheels,https://www.hse.gov.uk/pubns/books/hsg17.htm,Health and Safety Executive,eng,HTML,"This guidance advises on precautions you can take to prevent accidents in the use of abrasive wheels, in particular injury resulting from either wheel breakage or contact with a running wheel.",03/10/2019,08/03/2021,08/03/2021,"Construction companies
Foundry operators
Engineers",GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39023
24540
25500",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Abrasive Wheels
Accident Prevention
Equipment at Work",Active,,,,,,"https://www.hse.gov.uk/pubns/books/l22.htm
https://www.hse.gov.uk/pubns/books/l25.htm
https://www.hse.gov.uk/pubns/books/l5.htm
https://www.hse.gov.uk/pubns/books/l108.htm",,,,,,"https://www.legislation.gov.uk/uksi/1998/2306
https://www.legislation.gov.uk/uksi/1992/3073
https://www.legislation.gov.uk/ukpga/1974/37"
Dp6Kt9Nh,Health and safety in roof work,https://www.hse.gov.uk/pubns/books/hsg33.htm,Health and Safety Executive,eng,HTML,"The document contains guidance on how to plan and work safely on roofs. It covers
new buildings, repair, maintenance, cleaning work and demolition. It also includes some
guidance for people not directly carrying out work on a roof, such as clients, designers
and specifiers.",04/10/2019,09/03/2021,09/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39022",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Roof Work
Working at Height
Safety Measures",Active,,,,,,"www.hse.gov.uk/pubns/books/l153.htm
http://www.hse.gov.uk/pubns/geis6.htm
http://www.hse.gov.uk/pubns/gs6.htm
http://www.hse.gov.uk/pubns/books/hsg168.htm
http://www.hse.gov.uk/pubns/guidance/a12.htm
https://www.gov.uk/dispose-hazardous-waste
www.hse.gov.uk/pubns/books/hsg151.htm
www.hse.gov.uk/pubns/books/l64.htm
www.hse.gov.uk/pubns/books/l143.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1998/2306
https://www.legislation.gov.uk/uksi/2005/735
https://www.legislation.gov.uk/uksi/1999/3242
https://www.legislation.gov.uk/uksi/2015/51
https://www.legislation.gov.uk/uksi/1998/2307"
